,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5148,6,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2012,Micrograms/cubic meter (LC),No Events,32,51,N,31,61,0,2,,,Requested but not yet concurred,0,8.43125,7.022243,28.6,2012-01-10 00:00,26.3,2012-01-04 00:00,24.6,2012-01-12 00:00,17.400000000000002,2012-02-03 00:00,,,,,28.6,28.6,26.3,17.400000000000002,9.5,6.3,3.3000000000000003,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-07
5291,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2012,Micrograms/cubic meter (LC),No Events,52,68,N,52,76,0,7,,,Requested but not yet concurred,0,7.407692,4.51715,22.5,2012-11-26 00:00,20.7,2012-12-11 00:00,17.6,2012-11-11 00:00,17.3,2012-11-23 00:00,,,,,22.5,20.7,17.6,11.5,9.0,7.2,2.5,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2015-05-19
5406,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2012,Micrograms/cubic meter (LC),No Events,59,89,Y,54,61,0,10,,,Requested but not yet concurred,0,7.1728809999999985,5.251956,23.8,2012-08-01 00:00,20.8,2012-12-11 00:00,19.9,2012-01-10 00:00,18.0,2012-07-14 00:00,,,,,23.8,20.8,19.9,15.6,10.5,5.8,3.3000000000000003,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5463,6,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012,Micrograms/cubic meter (LC),No Events,234,96,Y,234,244,0,12,,,Requested but not yet concurred,0,6.746154,4.8457409999999985,32.2,2012-11-16 00:00,30.0,2012-01-09 00:00,25.6,2012-01-10 00:00,22.8,2012-11-27 00:00,,,,,22.8,20.2,14.9,12.7,7.6,5.7,2.8000000000000003,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2014-07-28
5467,6,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,1,,,Requested but not yet concurred,0,6.47377,3.9036690000000003,25.7,2012-01-10 00:00,17.1,2012-02-03 00:00,15.2,2012-06-14 00:00,14.4,2012-05-09 00:00,,,,,25.7,17.1,14.4,9.1,7.6,6.1000000000000005,2.9,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2014-06-07
5931,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2012,Micrograms/cubic meter (LC),No Events,30,8,N,30,366,0,1,,,Requested but not yet concurred,0,40.273333,20.766401000000002,93.4,2012-01-01 00:00,75.7,2012-01-05 00:00,64.1,2012-01-04 00:00,59.0,2012-01-12 00:00,,,,,93.4,93.4,75.7,64.1,52.7,42.6,11.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2014-06-07
5935,6,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2012,Micrograms/cubic meter (LC),No Events,8,8,N,5,61,0,1,,,Requested but not yet concurred,0,36.8875,16.46576,61.2,2012-01-03 00:00,53.7,2012-01-06 00:00,40.7,2012-01-18 00:00,37.6,2012-01-31 00:00,,,,,61.2,61.2,61.2,61.2,53.7,40.7,36.5,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2014-06-07
6097,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012,Micrograms/cubic meter (LC),No Events,345,94,Y,345,366,0,21,,,Requested but not yet concurred,0,14.247826000000002,12.627595,88.8,2012-01-01 00:00,73.2,2012-01-05 00:00,63.1,2012-01-04 00:00,60.3,2012-11-27 00:00,,,,,60.3,57.3,43.4,27.3,16.8,10.5,4.5,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-05-20
6101,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012,Micrograms/cubic meter (LC),Events Inclucded,59,93,N,57,61,59,2,,,Requested but not yet concurred,0,10.70678,7.761795999999999,39.6,2012-12-11 00:00,35.4,2012-11-15 00:00,26.5,2012-12-29 00:00,25.2,2012-11-05 00:00,,,,,39.6,35.4,26.5,21.1,12.8,9.2,4.2,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-08-10
6402,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2012,Micrograms/cubic meter (LC),No Events,25,33,N,25,76,0,5,,,Requested but not yet concurred,0,17.528000000000002,11.187252,48.7,2012-11-26 00:00,36.7,2012-12-11 00:00,29.6,2012-11-14 00:00,28.9,2012-11-23 00:00,,,,,48.7,48.7,36.7,29.6,23.7,16.0,4.9,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-07-07
