,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
4256,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,328,90,Y,328,366,0,38,,,Certified,0,7.600915,5.0996039999999985,37.2,2016-12-04 00:00,26.8,2016-01-04 00:00,23.8,2016-12-30 00:00,23.7,2016-12-05 00:00,,,,,23.7,21.2,18.3,14.4,9.9,6.4,2.6,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2017-01-27
4367,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,2,,,Certified,0,6.281667,3.4309410000000002,14.8,2016-08-04 00:00,13.0,2016-02-12 00:00,12.3,2016-12-26 00:00,12.2,2016-02-24 00:00,,,,,14.8,13.0,12.3,11.0,8.6,6.5,2.3000000000000003,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2017-01-27
4964,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,355,97,Y,355,366,0,11,,,Certified,0,12.728451,9.664315,52.7,2016-12-22 00:00,50.7,2016-12-30 00:00,49.4,2016-11-06 00:00,48.9,2016-12-21 00:00,,,,,48.9,42.7,34.6,26.1,15.3,9.8,4.4,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-01-27
4968,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),Events Inclucded,30,97,Y,30,31,30,2,,,Certification not required,0,12.356667,9.695171,47.5,2016-01-01 00:00,33.8,2016-12-02 00:00,24.9,2016-02-06 00:00,22.7,2016-11-08 00:00,,,,,47.5,47.5,33.8,24.9,15.4,11.0,4.0,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2017-01-27
5316,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,121,98,Y,120,122,0,7,,,Certified,0,11.571901,7.248347,36.1,2016-12-29 00:00,33.0,2016-11-05 00:00,31.5,2016-02-15 00:00,31.2,2016-01-01 00:00,,,,,33.0,31.5,29.0,22.1,15.0,10.2,4.1,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2017-01-27
5334,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,8,,,Certified,0,12.981667,9.511859,48.6,2016-01-01 00:00,41.8,2016-11-05 00:00,40.0,2016-12-29 00:00,38.1,2016-12-20 00:00,,,,,41.8,40.0,35.0,28.3,15.4,10.4,4.3,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2017-01-27
5413,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,118,97,Y,118,122,0,1,,,Requested but denied,0,6.0542370000000005,3.721057,20.0,2016-12-29 00:00,19.3,2016-12-26 00:00,16.4,2016-01-01 00:00,16.3,2016-12-17 00:00,,,,,19.3,16.4,14.6,11.0,7.2,5.5,2.5,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-06-07
5437,6,23,1005,88101,2,40.71528,-124.20138999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,2,,,Requested but denied,0,3.4615379999999996,2.075965,10.0,2016-05-06 00:00,10.0,2016-09-12 00:00,9.5,2016-04-30 00:00,8.0,2016-11-29 00:00,,,,,10.0,9.5,7.5,6.2,4.5,3.0,1.1,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2017-03-17
5552,6,25,5,88101,1,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,339,93,Y,339,366,0,27,,,Certified,0,12.514454,6.84812,45.3,2016-01-14 00:00,42.5,2016-01-18 00:00,39.5,2016-12-10 00:00,36.5,2016-12-11 00:00,,,,,36.5,34.2,25.8,21.4,15.0,11.0,5.4,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2017-01-27
5556,6,25,5,88101,2,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,31,94,Y,29,31,0,10,,,Certified,0,12.609677,7.262200999999999,33.8,2016-11-20 00:00,28.1,2016-12-05 00:00,24.8,2016-12-14 00:00,23.8,2016-07-23 00:00,,,,,33.8,33.8,28.1,24.8,14.0,10.7,7.1000000000000005,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2017-01-27
