,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
4778,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2010,Micrograms/cubic meter (LC),No Events,210,99,Y,210,213,0,3,,,Certification not required,0,8.575714,6.183433999999999,34.7,2010-12-03 00:00,31.2,2010-12-04 00:00,30.5,2010-01-04 00:00,30.1,2010-01-05 00:00,,,,,30.1,26.5,17.0,12.8,8.700000000000001,6.5,3.3000000000000003,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5268,6,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),No Events,58,95,Y,58,61,0,5,,,Certification not required,0,7.987931,6.420692,31.9,2010-12-16 00:00,29.0,2010-11-28 00:00,26.2,2010-02-19 00:00,26.0,2010-12-04 00:00,,,,,31.9,29.0,26.2,14.3,9.1,6.3,3.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-01
5368,6,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),No Events,30,49,N,30,61,0,1,,,Certification not required,0,4.883333,2.3405099999999996,11.4,2010-02-19 00:00,9.6,2010-01-08 00:00,7.3,2010-01-02 00:00,7.1000000000000005,2010-03-21 00:00,,,,,11.4,11.4,9.6,7.3,6.4,4.6000000000000005,2.3000000000000003,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-01
5398,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),No Events,45,70,N,43,61,0,22,,,Certification not required,0,5.033333,2.7596939999999996,17.0,2010-02-19 00:00,12.2,2010-07-01 00:00,8.1,2010-10-08 00:00,8.0,2010-07-13 00:00,,,,,17.0,17.0,8.1,7.4,6.0,4.9,2.8000000000000003,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5452,6,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2010,Micrograms/cubic meter (LC),No Events,238,98,Y,238,243,0,5,,,Certification not required,0,7.7315130000000005,6.397723,36.4,2010-01-16 00:00,35.0,2010-12-04 00:00,32.3,2010-01-06 00:00,32.1,2010-01-07 00:00,,,,,32.1,26.8,18.7,11.9,8.5,5.5,2.9,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
5456,6,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2010,Micrograms/cubic meter (LC),No Events,51,96,Y,51,53,0,3,,,Certification not required,0,7.02549,5.224781,35.7,2010-12-04 00:00,19.9,2010-01-08 00:00,14.5,2010-07-19 00:00,12.6,2010-02-01 00:00,,,,,35.7,19.9,14.5,9.6,8.4,6.0,3.4,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
5876,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),Concurred Events Excluded,342,94,Y,342,365,1,23,,,Certification not required,0,13.296784,11.018921,58.3,2010-12-03 00:00,56.1,2010-12-04 00:00,50.5,2010-11-25 00:00,50.2,2010-01-01 00:00,,,,,50.2,48.8,39.1,30.3,15.8,9.2,4.1,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
5877,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),Events Excluded,341,94,Y,342,365,0,23,,,Certification not required,0,13.217009,10.935759,58.3,2010-12-03 00:00,56.1,2010-12-04 00:00,50.5,2010-11-25 00:00,50.2,2010-01-01 00:00,,,,,50.2,48.8,38.4,30.2,15.6,9.2,4.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
5878,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),Events Inclucded,342,94,Y,342,365,1,23,,,Certification not required,0,13.296784,11.018921,58.3,2010-12-03 00:00,56.1,2010-12-04 00:00,50.5,2010-11-25 00:00,50.2,2010-01-01 00:00,,,,,50.2,48.8,39.1,30.3,15.8,9.2,4.1,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
5884,6,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2010,Micrograms/cubic meter (LC),No Events,64,98,Y,60,61,0,7,,,Certification not required,0,12.357813,11.419154,59.2,2010-12-04 00:00,48.9,2010-01-08 00:00,40.3,2010-11-16 00:00,39.1,2010-01-02 00:00,,,,,59.2,48.9,40.3,32.5,14.0,8.5,4.6000000000000005,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
