,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
3029,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,86,95,Y,86,91,0,5,,,Certification not required,0,12.513953,10.545656,56.4,2000-11-20 00:00,49.7,2000-12-29 00:00,38.3,2000-12-26 00:00,37.0,2000-12-05 00:00,,,,,49.7,38.3,35.5,23.3,11.3,8.6,4.6,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-02
3116,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,90,99,Y,90,91,0,2,,,Certification not required,0,11.543333,8.262995,44.8,2000-11-20 00:00,42.2,2000-01-07 00:00,36.3,2000-12-29 00:00,32.6,2000-12-08 00:00,,,,,42.2,36.3,26.4,19.1,10.8,8.5,5.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-02
3243,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Concurred Events Excluded,61,100,Y,61,61,1,3,,,Certification not required,0,15.754098,18.307244,98.0,2000-11-20 00:00,70.0,2000-12-08 00:00,61.0,2000-12-26 00:00,55.0,2000-01-07 00:00,,,,,98.0,70.0,55.0,43.0,13.0,10.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-02
3244,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Events Inclucded,61,100,Y,61,61,1,3,,,Certification not required,0,15.754098,18.307244,98.0,2000-11-20 00:00,70.0,2000-12-08 00:00,61.0,2000-12-26 00:00,55.0,2000-01-07 00:00,,,,,98.0,70.0,55.0,43.0,13.0,10.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-02
3245,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Events Excluded,60,100,Y,61,61,0,3,,,Certification not required,0,15.966667000000001,18.385667,98.0,2000-11-20 00:00,70.0,2000-12-08 00:00,61.0,2000-12-26 00:00,55.0,2000-01-07 00:00,,,,,98.0,70.0,55.0,43.0,13.0,10.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-02
3284,06,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,63,97,Y,59,61,0,5,,,Certification not required,0,8.984127,7.010342999999999,48.0,2000-01-08 00:00,30.0,2000-01-01 00:00,20.0,2000-01-05 00:00,18.0,2000-11-02 00:00,,,,,48.0,30.0,20.0,18.0,9.0,7.0,5.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-02
3326,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Events Excluded,112,85,N,104,122,0,30,,,Certification not required,0,8.1875,6.121194999999999,28.0,2000-12-31 00:00,27.0,2000-12-29 00:00,26.0,2000-12-26 00:00,23.0,2000-11-08 00:00,,,,,27.0,26.0,21.0,18.0,11.0,7.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
3327,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Events Inclucded,114,85,N,104,122,2,30,,,Certification not required,0,8.201754,6.080842,28.0,2000-12-31 00:00,27.0,2000-12-29 00:00,26.0,2000-12-26 00:00,23.0,2000-11-08 00:00,,,,,27.0,26.0,21.0,18.0,11.0,7.0,4.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
3328,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),Concurred Events Excluded,114,85,N,104,122,2,30,,,Certification not required,0,8.201754,6.080842,28.0,2000-12-31 00:00,27.0,2000-12-29 00:00,26.0,2000-12-26 00:00,23.0,2000-11-08 00:00,,,,,27.0,26.0,21.0,18.0,11.0,7.0,4.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
3442,06,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2000,Micrograms/cubic meter (LC),No Events,189,89,Y,189,213,0,6,,,Certification not required,0,13.586772,10.56632,52.6,2000-12-31 00:00,50.1,2000-12-03 00:00,49.9,2000-12-29 00:00,45.5,2000-11-23 00:00,,,,,45.5,42.6,33.6,21.7,11.2,8.8,5.1,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-02
