,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5137,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,210,99,Y,210,213,0,3,,,Certification not required,0,10.26619,7.7408410000000005,45.7,2009-02-03 00:00,38.2,2009-02-02 00:00,37.7,2009-02-04 00:00,36.3,2009-12-10 00:00,,,,,36.3,30.7,21.5,15.9,11.1,7.7,3.3000000000000003,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5272,6,1,9,88101,1,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,61,79,N,60,76,0,1,,,Certification not required,0,9.111475,6.6779009999999985,36.3,2009-02-03 00:00,34.2,2009-02-04 00:00,26.7,2009-01-01 00:00,20.6,2009-01-16 00:00,,,,,36.3,34.2,19.2,13.5,11.0,7.9,3.8,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2015-04-01
5446,6,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,60,79,N,60,76,0,4,,,Certification not required,0,8.66,5.986346,39.3,2009-02-03 00:00,22.4,2009-01-31 00:00,20.7,2009-01-01 00:00,19.0,2009-01-07 00:00,,,,,39.3,22.4,16.5,13.9,11.1,7.7,3.4,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
5605,6,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2009,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,4,,,Certification not required,0,9.896667,7.775906999999999,35.1,2009-12-09 00:00,30.0,2009-12-27 00:00,29.7,2009-01-13 00:00,27.9,2009-01-07 00:00,,,,,35.1,30.0,29.7,25.1,10.8,7.3,3.3000000000000003,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-01
5700,6,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2009,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,9,,,Certification not required,0,6.091667,2.124298,11.5,2009-12-04 00:00,9.7,2009-05-25 00:00,9.7,2009-12-09 00:00,9.1,2009-11-09 00:00,,,,,11.5,9.7,9.7,8.700000000000001,7.9,6.1000000000000005,3.3000000000000003,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-01
5725,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2009,Micrograms/cubic meter (LC),No Events,53,87,N,53,61,0,10,,,Certification not required,0,6.950943,4.049104,21.5,2009-01-07 00:00,14.6,2009-01-22 00:00,14.5,2009-12-21 00:00,13.5,2009-11-27 00:00,,,,,21.5,14.6,14.5,12.5,9.2,6.0,2.9,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5792,6,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,234,96,Y,233,243,0,11,,,Certification not required,0,8.973504,6.937593,39.0,2009-12-26 00:00,34.4,2009-01-17 00:00,33.9,2009-12-20 00:00,33.0,2009-12-27 00:00,,,,,33.0,29.2,21.9,14.6,10.0,7.1000000000000005,3.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
5796,6,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2009,Micrograms/cubic meter (LC),No Events,41,98,Y,41,42,0,5,,,Certification not required,0,9.114634,6.767073,32.4,2009-12-27 00:00,25.4,2009-01-01 00:00,24.1,2009-01-07 00:00,22.5,2009-12-15 00:00,,,,,32.4,32.4,24.1,16.2,11.6,7.3,3.4,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
6200,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2009,Micrograms/cubic meter (LC),No Events,355,97,Y,355,365,0,10,,,Certification not required,0,15.194648,13.526254000000002,82.3,2009-12-04 00:00,67.7,2009-12-03 00:00,63.7,2009-12-02 00:00,63.0,2009-12-25 00:00,,,,,63.0,55.8,46.5,35.30000000000001,16.9,10.2,4.5,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
6204,6,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2009,Micrograms/cubic meter (LC),No Events,62,98,Y,60,61,0,4,,,Certification not required,0,14.887097,13.025076,64.8,2009-12-03 00:00,55.1,2009-01-13 00:00,47.0,2009-12-21 00:00,43.7,2009-01-31 00:00,,,,,64.8,55.1,47.0,35.4,15.9,11.2,5.2,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
