,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
4744,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,332,91,Y,332,365,0,33,,,Requested but not yet concurred,0,9.169578,6.3536660000000005,39.0,2015-01-01 00:00,37.9,2015-01-10 00:00,31.2,2015-01-18 00:00,31.0,2015-01-03 00:00,,,,,31.0,29.5,22.7,18.3,11.0,7.3,3.4,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2016-01-27
4858,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,55,92,Y,55,60,0,5,,,Requested but not yet concurred,0,8.407273,5.6963550000000005,24.3,2015-12-02 00:00,23.6,2015-11-14 00:00,23.3,2015-02-05 00:00,20.4,2015-01-24 00:00,,,,,24.3,23.6,23.3,18.3,10.4,6.9,2.6,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2016-01-27
5444,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,324,89,Y,324,365,0,41,,,Requested but not yet concurred,0,14.456173000000001,12.454899000000001,75.2,2015-01-11 00:00,72.0,2015-01-09 00:00,71.60000000000002,2015-01-08 00:00,69.2,2015-01-10 00:00,,,,,69.2,57.0,39.3,30.7,18.7,9.6,4.9,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2016-01-27
5448,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),Events Inclucded,34,85,Y,29,34,34,8,,,Certification not required,0,14.255882000000001,10.779531,41.9,2015-11-14 00:00,39.9,2015-02-03 00:00,34.7,2015-01-24 00:00,32.8,2015-01-18 00:00,,,,,41.9,41.9,39.9,34.7,21.2,10.8,6.6000000000000005,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2016-01-27
5780,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,124,99,Y,120,121,0,3,,,Requested but not yet concurred,0,12.851613,9.717485,64.6,2015-01-12 00:00,60.7,2015-01-09 00:00,38.2,2015-01-06 00:00,35.0,2015-01-30 00:00,,,,,60.7,38.2,31.4,26.4,15.9,10.2,5.7,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2016-01-27
5798,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,116,95,Y,115,121,0,11,,,Requested but not yet concurred,0,13.969828,10.913599000000001,70.3,2015-01-09 00:00,54.2,2015-01-12 00:00,42.0,2015-11-14 00:00,37.2,2015-12-02 00:00,,,,,54.2,42.0,35.2,31.0,17.400000000000002,9.7,5.4,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2016-01-27
5886,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,118,98,Y,118,121,0,2,,,Requested but not yet concurred,0,5.8838979999999985,3.578592,18.6,2015-11-26 00:00,18.1,2015-11-29 00:00,17.2,2015-11-05 00:00,15.5,2015-01-03 00:00,,,,,18.1,17.2,13.5,11.3,7.1000000000000005,5.0,2.5,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2017-06-07
5905,6,23,1005,88101,2,40.71528,-124.20138999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,121,100,Y,121,121,0,1,,,Requested but not yet concurred,0,4.75124,2.86822,13.1,2015-06-14 00:00,12.7,2015-04-18 00:00,12.4,2015-04-27 00:00,12.0,2015-07-17 00:00,,,,,12.7,12.4,10.8,9.0,6.1000000000000005,4.1,1.6,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2016-05-17
6018,6,25,5,88101,1,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,308,84,Y,308,365,0,57,,,Requested but not yet concurred,0,11.636364,7.417189,87.10000000000002,2015-01-01 00:00,56.3,2015-01-02 00:00,42.1,2015-12-10 00:00,29.3,2015-02-04 00:00,,,,,29.3,27.6,21.9,18.8,14.1,10.3,5.3,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2016-01-27
6022,6,25,5,88101,2,32.676186,-115.484144,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,29,93,Y,28,30,0,5,,,Requested but not yet concurred,0,9.934483,4.160896,22.0,2015-11-14 00:00,15.8,2015-07-17 00:00,15.8,2015-08-13 00:00,14.4,2015-04-12 00:00,,,,,22.0,22.0,15.8,15.8,12.8,10.0,5.1000000000000005,Calexico-Ethel Street,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,"El Centro, CA",2016-01-27
