,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5386,6,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,58,16,N,58,365,0,1,,,Certification not required,0,9.831034,6.313511,23.6,2011-01-21 00:00,23.2,2011-01-11 00:00,23.2,2011-01-28 00:00,21.9,2011-01-16 00:00,,,,,23.6,23.2,23.2,18.7,13.8,8.5,2.5,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2014-06-07
5758,6,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,61,98,Y,60,61,0,7,,,Certification not required,0,12.003279,12.291568,51.8,2011-12-11 00:00,46.2,2011-01-27 00:00,41.5,2011-12-29 00:00,41.2,2011-12-23 00:00,,,,,51.8,46.2,41.5,38.5,16.0,7.0,3.3000000000000003,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2014-06-07
5878,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,54,85,N,52,61,0,10,,,Certification not required,0,7.02963,6.246044,32.7,2011-12-29 00:00,29.3,2011-12-17 00:00,20.5,2011-12-11 00:00,16.2,2011-11-17 00:00,,,,,32.7,29.3,20.5,13.9,8.5,6.2,2.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5933,6,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,220,91,Y,220,243,0,24,,,Certification not required,0,8.619545,6.8968479999999985,47.5,2011-12-25 00:00,39.7,2011-12-17 00:00,34.800000000000004,2011-12-26 00:00,29.1,2011-01-28 00:00,,,,,29.1,24.4,20.6,14.7,9.5,6.0,3.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2014-07-28
5937,6,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,59,97,Y,59,61,0,2,,,Certification not required,0,7.857627000000001,6.2582689999999985,37.3,2011-12-17 00:00,22.2,2011-11-11 00:00,21.8,2011-01-27 00:00,21.1,2011-11-29 00:00,,,,,37.3,22.2,21.8,15.7,9.5,5.7,3.1,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2014-06-07
6351,6,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,339,93,Y,339,365,0,26,,,Certification not required,0,15.307965,15.021104000000001,77.3,2011-12-24 00:00,77.3,2011-12-30 00:00,74.9,2011-12-23 00:00,74.3,2011-12-11 00:00,,,,,74.3,69.5,44.3,37.2,17.6,9.5,4.2,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2014-06-07
6355,6,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,67,97,Y,59,61,0,4,,,Certification not required,0,16.229851,16.670514999999998,78.5,2011-12-29 00:00,76.3,2011-12-11 00:00,75.5,2011-12-23 00:00,44.1,2011-01-21 00:00,,,,,78.5,76.3,75.5,42.4,21.9,11.2,6.5,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2014-06-07
6662,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,81,88,Y,80,91,0,10,,,Certification not required,0,17.001234999999998,15.682964000000002,77.8,2011-10-27 00:00,67.5,2011-12-29 00:00,59.6,2011-12-26 00:00,56.7,2011-12-24 00:00,,,,,67.5,59.6,39.9,34.5,17.6,10.1,4.0,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2014-06-07
6730,6,23,1002,88101,1,40.80178,-124.1621,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,76,84,N,76,91,0,16,,,Certification not required,0,6.568421000000001,4.504345,19.7,2011-11-11 00:00,18.7,2011-12-23 00:00,18.2,2011-12-05 00:00,16.5,2011-02-11 00:00,,,,,19.7,18.7,15.5,13.4,7.8,4.3,2.4,Eureka I Street,"I STREET, EUREKA",California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2014-06-07
6751,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,78,86,N,78,91,0,14,,,Certification not required,0,7.010256,5.597184,24.8,2011-12-23 00:00,23.7,2011-11-11 00:00,20.8,2011-12-05 00:00,19.3,2011-12-21 00:00,,,,,24.8,23.7,18.6,14.6,7.7,4.3,2.3000000000000003,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2014-06-07
