,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5393,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,95,100,Y,91,91,0,1,,,Certification not required,0,10.426316,8.638781999999999,50.8,2006-12-25 00:00,49.7,2006-12-07 00:00,36.6,2006-12-31 00:00,28.5,2006-01-05 00:00,,,,,49.7,36.6,25.1,15.2,11.4,8.1,3.4,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5473,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,92,99,Y,90,91,0,3,,,Certification not required,0,10.638043,7.5476779999999986,43.9,2006-12-25 00:00,39.7,2006-12-07 00:00,30.4,2006-02-11 00:00,28.1,2006-02-10 00:00,,,,,39.7,30.4,23.3,18.8,12.3,8.4,4.1,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
5545,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,2,,,Certification not required,0,13.377049,13.494646,67.0,2006-12-07 00:00,59.0,2006-12-31 00:00,56.0,2006-12-19 00:00,43.0,2006-11-25 00:00,,,,,67.0,59.0,43.0,23.0,14.0,9.0,3.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-01
5625,06,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,8.639344,4.3781,23.0,2006-11-01 00:00,23.0,2006-12-31 00:00,18.0,2006-11-25 00:00,17.0,2006-12-01 00:00,,,,,23.0,23.0,17.0,14.0,10.0,8.0,4.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-01
5650,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,121,97,Y,118,122,0,6,,,Certification not required,0,8.049586999999999,6.74642,50.0,2006-11-01 00:00,33.0,2006-12-25 00:00,30.0,2006-12-31 00:00,25.0,2006-12-19 00:00,,,,,33.0,30.0,22.0,15.0,10.0,7.0,2.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-01
5718,06,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,201,93,Y,198,212,0,14,,,Certification not required,0,10.218408,8.907335,62.1,2006-12-25 00:00,48.5,2006-12-21 00:00,44.0,2006-11-20 00:00,38.6,2006-12-24 00:00,,,,,38.6,33.6,25.0,14.3,11.0,8.1,3.6,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
5722,06,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,62,98,Y,60,61,0,2,,,Certification not required,0,10.083871,9.194603,60.1,2006-12-25 00:00,38.8,2006-12-07 00:00,29.0,2006-11-19 00:00,26.7,2006-12-31 00:00,,,,,60.1,38.8,29.0,16.0,11.2,8.1,4.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
6144,06,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,347,95,Y,347,365,0,18,,,Certification not required,0,16.720461,11.84118,71.0,2006-02-13 00:00,58.0,2006-12-25 00:00,57.0,2006-12-31 00:00,56.0,2006-02-10 00:00,,,,,56.0,51.0,42.0,35.0,20.0,13.0,6.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
6148,06,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,61,98,Y,60,61,0,1,,,Certification not required,0,20.032787,14.059359,58.0,2006-12-25 00:00,56.0,2006-12-31 00:00,55.0,2006-02-10 00:00,51.0,2006-12-19 00:00,,,,,58.0,56.0,55.0,43.0,29.0,15.0,7.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
6494,06,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,88,97,Y,88,91,0,3,,,Certification not required,0,18.170455,12.67997,65.8,2006-02-13 00:00,60.5,2006-12-07 00:00,51.3,2006-12-31 00:00,46.8,2006-12-22 00:00,,,,,60.5,51.3,40.5,33.3,19.9,13.3,5.1000000000000005,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-04-01
