,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
4939,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),Events Excluded,319,88,Y,321,365,0,44,,,Certification not required,0,9.997179,7.2585549999999985,31.9,2013-01-17 00:00,31.8,2013-12-14 00:00,31.3,2013-12-18 00:00,30.5,2013-12-23 00:00,,,,,30.5,29.5,26.8,21.8,12.3,7.6,3.1,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2015-05-19
4940,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),Concurred Events Excluded,321,88,Y,321,365,2,44,,,Certification not required,0,10.166667,7.5478130000000005,38.8,2013-07-30 00:00,35.6,2013-07-29 00:00,31.9,2013-01-17 00:00,31.8,2013-12-14 00:00,,,,,31.8,30.2,27.3,22.2,12.5,7.6,3.2,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2015-05-19
4941,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),Events Inclucded,321,88,Y,321,365,2,44,,,Certification not required,0,10.166667,7.5478130000000005,38.8,2013-07-30 00:00,35.6,2013-07-29 00:00,31.9,2013-01-17 00:00,31.8,2013-12-14 00:00,,,,,31.8,30.2,27.3,22.2,12.5,7.6,3.2,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2015-05-19
5078,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2013,Micrograms/cubic meter (LC),No Events,54,89,Y,54,61,0,9,,,Certification not required,0,7.0481479999999985,4.78838,24.5,2013-11-24 00:00,23.0,2013-01-16 00:00,15.2,2013-10-25 00:00,15.0,2013-10-19 00:00,,,,,24.5,23.0,15.2,13.3,8.3,6.3,2.7,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-05-20
5690,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),No Events,337,92,Y,337,365,0,28,,,Certification not required,0,16.893175,15.488257,99.6,2013-12-18 00:00,86.0,2013-12-17 00:00,77.60000000000002,2013-12-15 00:00,74.2,2013-12-16 00:00,,,,,74.2,65.7,49.4,39.0,21.6,10.5,4.8,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-05-20
5694,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),Events Inclucded,63,98,Y,60,61,63,6,,,Certification not required,0,17.380952,17.858619,100.1,2013-12-18 00:00,63.7,2013-12-30 00:00,55.2,2013-12-24 00:00,52.7,2013-01-04 00:00,,,,,100.1,63.7,55.2,46.7,22.8,10.8,4.9,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-08-10
6002,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2013,Micrograms/cubic meter (LC),No Events,83,77,N,82,106,0,26,,,Requested but not yet concurred,0,16.791566,15.542343,103.4,2013-12-18 00:00,58.7,2013-12-15 00:00,55.4,2013-12-27 00:00,50.9,2013-12-30 00:00,,,,,103.4,58.7,49.4,33.1,21.0,12.5,5.0,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-07-07
6020,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2013,Micrograms/cubic meter (LC),No Events,89,83,N,88,106,0,15,,,Requested but not yet concurred,0,17.660674,17.297528,95.4,2013-12-18 00:00,71.60000000000002,2013-12-15 00:00,59.1,2013-12-27 00:00,58.8,2013-12-30 00:00,,,,,95.4,71.60000000000002,49.7,46.9,26.4,10.6,4.5,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2015-05-14
6091,6,23,1002,88101,1,40.80178,-124.1621,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2013,Micrograms/cubic meter (LC),No Events,87,96,Y,87,91,0,14,,,Requested but not yet concurred,0,7.397701,5.674258,24.3,2013-01-01 00:00,24.0,2013-12-30 00:00,22.7,2013-12-27 00:00,20.2,2013-11-27 00:00,,,,,24.0,22.7,18.1,15.3,9.2,4.8,1.8,Eureka I Street,"I STREET, EUREKA",California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2014-06-07
6112,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2013,Micrograms/cubic meter (LC),No Events,23,19,N,23,122,0,6,,,Requested but not yet concurred,0,10.66087,7.125673,28.1,2013-01-01 00:00,23.7,2013-01-13 00:00,21.0,2013-01-19 00:00,20.0,2013-01-16 00:00,,,,,28.1,28.1,23.7,21.0,14.8,8.8,4.0,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2014-06-07
