,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
3894,6,7,8,88101,1,39.761538,-121.84161999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,317,87,Y,317,365,0,48,,,Certification not required,0,9.036593,7.2968769999999985,45.2,2017-09-01 00:00,35.7,2017-12-09 00:00,34.9,2017-10-10 00:00,33.0,2017-09-02 00:00,,,,,33.0,32.6,24.7,18.8,11.5,7.1000000000000005,2.6,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2018-02-12
3990,6,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,55,90,Y,55,61,0,7,,,Certification not required,0,7.685454999999998,8.283593999999999,44.8,2017-10-10 00:00,34.800000000000004,2017-09-04 00:00,20.9,2017-12-09 00:00,18.5,2017-08-23 00:00,,,,,44.8,34.800000000000004,20.9,17.3,10.3,4.9,1.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2018-02-12
4573,6,19,11,88101,1,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,318,87,N,318,365,0,47,,,Certification not required,0,15.805031,15.638708,86.0,2017-12-31 00:00,79.9,2017-12-30 00:00,78.7,2017-12-29 00:00,77.8,2017-12-26 00:00,,,,,77.8,68.1,55.3,35.2,16.8,10.8,3.9,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2018-02-12
4577,6,19,11,88101,2,36.785322,-119.774174,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),Events Inclucded,38,87,N,26,30,38,5,,,Certification not required,0,11.302632000000001,10.091406,51.5,2017-12-09 00:00,40.0,2017-01-31 00:00,31.5,2017-12-21 00:00,21.0,2017-11-15 00:00,,,,,51.5,51.5,40.0,31.5,15.3,9.9,7.2,Fresno - Garland,"3727 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2018-02-12
4929,6,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,115,94,Y,115,122,0,14,,,Certification not required,0,13.602609,12.769615,69.5,2017-12-15 00:00,64.7,2017-12-30 00:00,58.5,2017-12-24 00:00,54.0,2017-12-13 00:00,,,,,64.7,58.5,50.6,25.3,15.4,10.0,3.8,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2018-02-12
4947,6,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,6,,,Certification not required,0,15.083761,15.348565,88.3,2017-12-30 00:00,75.60000000000002,2017-12-24 00:00,73.2,2017-12-15 00:00,63.6,2017-12-27 00:00,,,,,75.60000000000002,73.2,54.3,28.5,16.9,10.1,4.1,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2018-02-12
5034,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),Events Inclucded,111,90,Y,110,122,1,10,,,Certification not required,0,8.242341999999999,6.970869,49.0,2017-09-04 00:00,30.5,2017-10-10 00:00,28.0,2017-09-01 00:00,25.7,2017-12-13 00:00,,,,,30.5,28.0,21.2,17.400000000000002,9.8,6.3,2.8000000000000003,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2018-03-05
5035,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),Concurred Events Excluded,111,90,Y,110,122,1,10,,,Certification not required,0,8.242341999999999,6.970869,49.0,2017-09-04 00:00,30.5,2017-10-10 00:00,28.0,2017-09-01 00:00,25.7,2017-12-13 00:00,,,,,30.5,28.0,21.2,17.400000000000002,9.8,6.3,2.8000000000000003,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2018-03-05
5036,6,23,1004,88101,1,40.776944,-124.1775,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),Events Excluded,110,90,Y,110,122,0,10,,,Certification not required,0,7.871817999999998,5.801726,30.5,2017-10-10 00:00,28.0,2017-09-01 00:00,25.7,2017-12-13 00:00,22.6,2017-12-09 00:00,,,,,28.0,25.7,19.0,16.7,9.8,6.1000000000000005,2.5,Jacobs,717 SOUTH AVENUE,California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2018-03-05
5076,6,23,1005,88101,2,40.71528,-124.20138999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),Concurred Events Excluded,101,83,N,101,122,1,19,,,Certification not required,0,5.513861,6.244662,52.0,2017-09-01 00:00,29.3,2017-10-10 00:00,20.8,2017-08-26 00:00,14.0,2017-08-20 00:00,,,,,29.3,20.8,13.5,10.1,6.2,4.1,1.4,Humboldt Hill,"170 meters SE of Donna Dr. & Humboldt Hill Rd., Eureka, CA",California,Humboldt,,"Eureka-Arcata-Fortuna, CA",2018-03-05
