,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5866,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,93,99,Y,90,91,0,3,,,Certification not required,0,9.621505,6.6442169999999985,32.1,2005-12-12 00:00,29.2,2005-02-03 00:00,28.7,2005-12-15 00:00,25.3,2005-11-22 00:00,,,,,29.2,28.7,22.7,17.3,11.0,7.4,3.3000000000000003,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-01
5951,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,92,99,Y,90,91,0,3,,,Certification not required,0,9.427174,6.188701,33.4,2005-01-31 00:00,30.9,2005-11-21 00:00,27.6,2005-12-15 00:00,23.8,2005-11-24 00:00,,,,,30.9,27.6,19.7,17.1,10.7,7.7,3.5,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-01
6031,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,61,97,Y,59,61,0,4,,,Certification not required,0,12.442623,12.986563,67.0,2005-12-06 00:00,54.0,2005-02-03 00:00,53.0,2005-12-12 00:00,36.0,2005-11-18 00:00,,,,,67.0,54.0,53.0,35.0,12.0,8.0,5.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-01
6116,06,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,60,98,Y,60,61,0,2,,,Certification not required,0,7.016667,3.577196,21.0,2005-12-12 00:00,18.0,2005-12-06 00:00,12.0,2005-07-15 00:00,11.0,2005-01-22 00:00,,,,,21.0,18.0,12.0,11.0,9.0,7.0,3.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-01
6142,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,117,94,Y,115,122,0,7,,,Certification not required,0,6.982906,5.082056,34.0,2005-12-07 00:00,32.0,2005-02-03 00:00,16.0,2005-02-27 00:00,15.0,2005-09-22 00:00,,,,,32.0,16.0,14.0,12.0,10.0,6.0,2.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-01
6209,06,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,196,92,Y,196,212,0,16,,,Certification not required,0,10.562245,8.741196,48.9,2005-12-16 00:00,48.7,2005-02-04 00:00,46.5,2005-12-11 00:00,40.5,2005-12-08 00:00,,,,,40.5,33.4,25.4,15.3,9.6,7.0,4.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
6213,06,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,87,100,Y,61,61,0,0,,,Certification not required,0,9.8,8.276164,47.7,2005-02-04 00:00,40.9,2005-12-08 00:00,33.7,2005-02-05 00:00,30.9,2005-11-24 00:00,,,,,47.7,40.9,30.9,27.2,12.0,8.9,6.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-01
6639,06,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,337,92,Y,337,365,0,28,,,Certification not required,0,17.181009,15.760102,86.0,2005-12-12 00:00,78.0,2005-12-11 00:00,77.0,2005-12-14 00:00,76.0,2005-12-08 00:00,,,,,76.0,71.0,54.0,39.0,19.0,12.0,5.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
6643,06,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,64,95,Y,58,61,0,9,,,Certification not required,0,17.296875,16.693006999999998,85.0,2005-12-12 00:00,74.0,2005-11-24 00:00,66.0,2005-12-06 00:00,52.0,2005-03-11 00:00,,,,,85.0,74.0,66.0,39.0,22.0,13.0,7.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-01
6931,06,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2005,Micrograms/cubic meter (LC),No Events,82,90,N,82,91,0,10,,,Certification not required,0,17.646341,15.243458,77.0,2005-12-12 00:00,67.1,2005-11-24 00:00,63.0,2005-12-09 00:00,56.9,2005-12-06 00:00,,,,,67.1,63.0,47.2,32.1,19.2,10.7,4.8,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-04-01
