,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5614,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,96,100,Y,92,92,0,0,,,Certified,0,11.10625,8.431242999999998,40.8,2004-12-05 00:00,38.1,2004-12-20 00:00,35.30000000000001,2004-02-12 00:00,31.8,2004-11-26 00:00,,,,,38.1,35.30000000000001,28.1,21.2,11.0,8.0,4.4,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-02
5702,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,94,100,Y,92,92,0,0,,,Certified,0,10.053191,7.024132000000001,39.9,2004-12-05 00:00,37.0,2004-12-20 00:00,33.0,2004-11-26 00:00,26.3,2004-11-17 00:00,,,,,37.0,33.0,20.6,17.0,11.5,7.5,4.7,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-02
5785,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,2,,,Certified,0,14.934426,14.199611,65.0,2004-01-22 00:00,54.0,2004-12-05 00:00,53.0,2004-12-17 00:00,44.0,2004-11-23 00:00,,,,,65.0,54.0,44.0,34.0,21.0,9.0,4.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-02
5870,06,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,0,,,Certified,0,7.6065570000000005,4.793324,24.0,2004-12-23 00:00,21.0,2004-01-22 00:00,19.0,2004-12-05 00:00,16.0,2004-11-23 00:00,,,,,24.0,21.0,16.0,13.0,10.0,7.0,1.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-02
5902,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2004,Micrograms/cubic meter (LC),Concurred Events Excluded,121,92,Y,112,122,2,13,,,Certified,0,7.247934,6.128188,38.0,2004-11-29 00:00,37.0,2004-11-26 00:00,34.0,2004-11-23 00:00,21.0,2004-07-05 00:00,,,,,37.0,34.0,17.0,15.0,9.0,6.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
5903,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2004,Micrograms/cubic meter (LC),Events Excluded,119,92,Y,112,122,0,13,,,Certified,0,7.319328,6.154691000000001,38.0,2004-11-29 00:00,37.0,2004-11-26 00:00,34.0,2004-11-23 00:00,21.0,2004-07-05 00:00,,,,,37.0,34.0,17.0,15.0,9.0,6.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
5904,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2004,Micrograms/cubic meter (LC),Events Inclucded,121,92,Y,112,122,2,13,,,Certified,0,7.247934,6.128188,38.0,2004-11-29 00:00,37.0,2004-11-26 00:00,34.0,2004-11-23 00:00,21.0,2004-07-05 00:00,,,,,37.0,34.0,17.0,15.0,9.0,6.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
5974,06,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,185,86,N,183,214,0,25,,,Certified,0,12.88973,11.21442,73.7,2004-12-25 00:00,51.2,2004-12-20 00:00,46.2,2004-12-24 00:00,42.5,2004-01-23 00:00,,,,,42.5,38.1,31.4,23.4,10.0,8.1,4.4,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-02
5978,06,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,74,95,Y,58,61,0,0,,,Certified,0,12.510811,9.609778,45.5,2004-12-24 00:00,42.2,2004-12-05 00:00,35.6,2004-12-04 00:00,35.5,2004-11-16 00:00,,,,,45.5,42.2,35.6,28.3,19.7,9.7,6.1000000000000005,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-02
6276,06,17,11,88101,1,38.944979,-119.97060900000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,9,15,N,9,61,0,0,,,Certified,0,10.333333,6.519202,20.0,2004-01-04 00:00,16.0,2004-01-16 00:00,15.0,2004-01-10 00:00,15.0,2004-01-22 00:00,,,,,20.0,20.0,20.0,20.0,15.0,9.0,1.0,South Lake Tahoe-Sandy Way," 3337 Sandy Way, South Lake Tahoe, CA",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2015-04-02
