,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
5772,06,1,7,88101,1,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,95,100,Y,91,91,0,0,,,Certified,0,9.555789,6.155843,42.0,2003-02-11 00:00,27.1,2003-01-09 00:00,24.2,2003-01-03 00:00,22.8,2003-12-05 00:00,,,,,27.1,24.2,20.1,16.4,10.3,7.5,3.8,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2015-04-02
5915,06,1,1001,88101,1,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,94,98,Y,89,91,0,4,,,Certified,0,8.97766,4.88892,33.5,2003-02-11 00:00,23.8,2003-01-09 00:00,22.1,2003-01-18 00:00,19.2,2003-06-02 00:00,,,,,23.8,22.1,16.3,13.6,10.8,7.7,4.0,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-02
5919,06,1,1001,88101,2,37.535833000000004,-121.961823,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,18,30,N,18,61,0,1,,,Certified,0,7.088889,5.210159,22.8,2003-01-09 00:00,15.2,2003-01-21 00:00,13.8,2003-01-03 00:00,8.0,2003-03-10 00:00,,,,,22.8,22.8,22.8,15.2,7.8,5.2,2.9,Fremont - Chapel Way,"40733 CHAPEL WAY., FREMONT",California,Alameda,Fremont,"San Francisco-Oakland-Hayward, CA",2015-04-02
6048,06,7,2,88101,1,39.757371,-121.843286,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,2,,,Certification not required,0,10.459016,7.1310910000000005,33.0,2003-12-17 00:00,32.0,2003-11-23 00:00,31.0,2003-02-08 00:00,30.0,2003-01-09 00:00,,,,,33.0,32.0,30.0,18.0,13.0,9.0,4.0,Chico-Manzanita Ave.,"468 MANZANITA AVE, CHICO",California,Butte,,"Chico, CA",2015-04-02
6134,06,9,1,88101,1,38.201852,-120.68156699999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,8.639344,4.355199,20.0,2003-09-18 00:00,19.0,2003-09-24 00:00,17.0,2003-02-08 00:00,17.0,2003-11-05 00:00,,,,,20.0,19.0,17.0,14.0,11.0,8.0,4.0,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2015-04-02
6163,06,11,1002,88101,1,39.202935,-122.017728,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,119,88,N,106,121,0,15,,,Certification not required,0,8.008403,5.663584999999999,30.0,2003-01-06 00:00,29.0,2003-07-05 00:00,27.0,2003-01-09 00:00,24.0,2003-12-28 00:00,,,,,29.0,27.0,19.0,16.0,11.0,8.0,3.0,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2015-04-02
6227,06,13,2,88101,1,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,208,96,Y,205,213,0,4,,,Certified,0,11.488942,8.992725,49.7,2003-11-07 00:00,43.6,2003-12-19 00:00,41.0,2003-11-06 00:00,41.0,2003-11-28 00:00,,,,,41.0,33.8,27.9,20.0,10.8,7.1,4.0,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-02
6231,06,13,2,88101,2,37.936013,-122.026154,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,68,98,Y,60,61,0,1,,,Certified,0,9.467647,6.557494,33.0,2003-02-11 00:00,28.8,2003-01-09 00:00,28.3,2003-12-05 00:00,28.2,2003-01-21 00:00,,,,,33.0,28.8,28.3,21.6,12.5,7.6,5.4,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2015-04-02
6551,06,17,11,88101,1,38.944979,-119.97060900000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,61,100,Y,61,61,0,0,,,Certification not required,0,7.147541,4.437853,21.0,2003-01-03 00:00,19.0,2003-11-05 00:00,18.0,2003-12-17 00:00,17.0,2003-11-23 00:00,,,,,21.0,19.0,17.0,12.0,9.0,6.0,3.0,South Lake Tahoe-Sandy Way," 3337 Sandy Way, South Lake Tahoe, CA",California,El Dorado,South Lake Tahoe,"Sacramento--Roseville--Arden-Arcade, CA",2015-04-02
6777,06,19,8,88101,1,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,336,92,Y,336,365,0,29,,,Certification not required,0,17.72619,13.134982999999998,63.0,2003-01-13 00:00,62.0,2003-11-27 00:00,59.0,2003-11-20 00:00,58.0,2003-01-01 00:00,,,,,58.0,56.0,46.0,37.0,25.0,13.0,6.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-02
6781,06,19,8,88101,2,36.781333000000004,-119.77318999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,66,98,Y,60,61,0,2,,,Certification not required,0,17.272727,13.084983,54.0,2003-11-23 00:00,52.0,2003-01-03 00:00,49.0,2003-12-17 00:00,48.0,2003-12-05 00:00,,,,,54.0,52.0,49.0,39.0,26.0,14.0,7.0,"3425 N FIRST ST, FRESNO","3425 N FIRST ST, FRESNO",California,Fresno,Fresno,"Fresno, CA",2015-04-02
7079,06,19,5001,88101,1,36.819111,-119.71735600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,68,75,N,68,91,0,23,,,Certification not required,0,20.785294,12.868477,51.2,2003-02-20 00:00,48.4,2003-11-26 00:00,48.1,2003-11-20 00:00,45.2,2003-12-05 00:00,,,,,48.4,48.1,43.9,35.0,20.1,13.0,5.7,Clovis-Villa,"908 N VILLA AVE, CLOVIS",California,Fresno,Clovis,"Fresno, CA",2015-04-02
7092,06,19,5025,88101,1,36.72639,-119.73299999999999,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,91,100,Y,91,91,0,2,,,Certification not required,0,20.158242,12.720692,52.2,2003-11-26 00:00,52.0,2003-12-17 00:00,49.7,2003-01-06 00:00,48.7,2003-11-20 00:00,,,,,52.0,49.7,45.1,38.0,21.0,13.6,6.4,Fresno-Pacific,"1716 WINERY, FRESNO CA 93726",California,Fresno,Fresno,"Fresno, CA",2015-04-02
7179,06,23,1002,88101,1,40.80178,-124.1621,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,52,80,N,49,61,0,10,,,Certified,0,8.326922999999999,6.909389,36.1,2003-02-08 00:00,34.7,2003-12-17 00:00,21.8,2003-11-17 00:00,18.7,2003-11-23 00:00,,,,,36.1,36.1,21.8,15.5,10.3,7.1,3.4,Eureka I Street,"I STREET, EUREKA",California,Humboldt,Eureka,"Eureka-Arcata-Fortuna, CA",2015-04-02
7195,06,25,3,88101,1,32.978379,-115.53415600000001,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS - GRAVIMETRIC,2003,Micrograms/cubic meter (LC),No Events,100,83,N,100,121,0,0,,,Certified,0,10.423,5.155342,32.9,2003-01-21 00:00,28.7,2003-02-17 00:00,25.8,2003-10-30 00:00,25.2,2003-11-08 00:00,,,,,32.9,28.7,20.5,15.7,12.5,9.7,4.8,Brawley-401 Main St.,"401 MAIN ST., BRAWLEY",California,Imperial,Brawley,"El Centro, CA",2015-04-02
