,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
193221,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,18:00,2017-10-14,02:00,9.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193222,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,19:00,2017-10-14,03:00,29.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193223,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,20:00,2017-10-14,04:00,17.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193224,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,21:00,2017-10-14,05:00,15.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193225,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,22:00,2017-10-14,06:00,13.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
193226,6,1,7,88101,3,37.687526,-121.784217,WGS84,PM2.5 - Local Conditions,2017-10-13,23:00,2017-10-14,07:00,12.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201831,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,00:00,2017-10-13,08:00,55.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201832,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,01:00,2017-10-13,09:00,47.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201833,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,02:00,2017-10-13,10:00,40.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201834,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,03:00,2017-10-13,11:00,43.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201835,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,04:00,2017-10-13,12:00,44.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201836,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,05:00,2017-10-13,13:00,54.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201837,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,06:00,2017-10-13,14:00,54.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201838,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,07:00,2017-10-13,15:00,58.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201839,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,08:00,2017-10-13,16:00,53.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201840,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,09:00,2017-10-13,17:00,69.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201841,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,10:00,2017-10-13,18:00,105.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201842,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,11:00,2017-10-13,19:00,96.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201843,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,12:00,2017-10-13,20:00,78.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
201844,6,1,9,88101,3,37.743065,-122.16993500000001,WGS84,PM2.5 - Local Conditions,2017-10-13,13:00,2017-10-13,21:00,89.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
